"","Region","Structural.Factor","Question_Ref","Question","Period","Value_No","Value","Cohort","n"
"210","Western Europe","Conditions of Demand","Q21F","Price Stabiity","Future",5,"Highly Unstable","Working Team",0
"211","Western Europe","Exit Barriers","Q22","Reinvestment Barriers","Current",1,"Low","Working Team",0
"212","Western Europe","Exit Barriers","Q22","Reinvestment Barriers","Current",2,"Very Few","Working Team",0
"213","Western Europe","Exit Barriers","Q22","Reinvestment Barriers","Current",3,"Few","Working Team",0
"214","Western Europe","Exit Barriers","Q22","Reinvestment Barriers","Current",4,"Some","Working Team",0
"215","Western Europe","Exit Barriers","Q22","Reinvestment Barriers","Current",5,"High","Working Team",0
"216","Western Europe","Exit Barriers","Q22F","Reinvestment Barriers","Future",1,"Low","Working Team",0
"217","Western Europe","Exit Barriers","Q22F","Reinvestment Barriers","Future",2,"Very Few","Working Team",0
"218","Western Europe","Exit Barriers","Q22F","Reinvestment Barriers","Future",3,"Few","Working Team",0
"219","Western Europe","Exit Barriers","Q22F","Reinvestment Barriers","Future",4,"Some","Working Team",0
"220","Western Europe","Exit Barriers","Q22F","Reinvestment Barriers","Future",5,"High","Working Team",0
"221","Western Europe","Exit Barriers","Q23","Excess Capacity","Current",1,"Very Little","Working Team",0
"222","Western Europe","Exit Barriers","Q23","Excess Capacity","Current",2,"Little","Working Team",0
"223","Western Europe","Exit Barriers","Q23","Excess Capacity","Current",3,"Some","Working Team",0
"224","Western Europe","Exit Barriers","Q23","Excess Capacity","Current",4,"Substantial","Working Team",0
"225","Western Europe","Exit Barriers","Q23","Excess Capacity","Current",5,"Very Substantial","Working Team",0
"226","Western Europe","Exit Barriers","Q23F","Excess Capacity","Future",1,"Very Little","Working Team",0
"227","Western Europe","Exit Barriers","Q23F","Excess Capacity","Future",2,"Little","Working Team",0
"228","Western Europe","Exit Barriers","Q23F","Excess Capacity","Future",3,"Some","Working Team",0
"229","Western Europe","Exit Barriers","Q23F","Excess Capacity","Future",4,"Substantial","Working Team",0
"230","Western Europe","Exit Barriers","Q23F","Excess Capacity","Future",5,"Very Substantial","Working Team",0
"231","Western Europe","Exit Barriers","Q24","Asset Age","Current",1,"Mostly Old","Working Team",0
"232","Western Europe","Exit Barriers","Q24","Asset Age","Current",2,"Few Old","Working Team",0
"233","Western Europe","Exit Barriers","Q24","Asset Age","Current",3,"Neutral","Working Team",0
"234","Western Europe","Exit Barriers","Q24","Asset Age","Current",4,"Few New","Working Team",0
"235","Western Europe","Exit Barriers","Q24","Asset Age","Current",5,"Mostly New","Working Team",0
"236","Western Europe","Exit Barriers","Q24F","Asset Age","Future",1,"Mostly Old","Working Team",0
"237","Western Europe","Exit Barriers","Q24F","Asset Age","Future",2,"Few Old","Working Team",0
"238","Western Europe","Exit Barriers","Q24F","Asset Age","Future",3,"Neutral","Working Team",0
"239","Western Europe","Exit Barriers","Q24F","Asset Age","Future",4,"Few New","Working Team",0
"240","Western Europe","Exit Barriers","Q24F","Asset Age","Future",5,"Mostly New","Working Team",0
"241","Western Europe","Exit Barriers","Q25","Resale Markets for Assets","Current",1,"Easy","Working Team",0
"242","Western Europe","Exit Barriers","Q25","Resale Markets for Assets","Current",2,"Somewhat Easy","Working Team",0
"243","Western Europe","Exit Barriers","Q25","Resale Markets for Assets","Current",3,"Neutral","Working Team",0
"244","Western Europe","Exit Barriers","Q25","Resale Markets for Assets","Current",4,"Somewhat Difficult","Working Team",0
"245","Western Europe","Exit Barriers","Q25","Resale Markets for Assets","Current",5,"Difficult","Working Team",0
"246","Western Europe","Exit Barriers","Q25F","Resale Markets for Assets","Future",1,"Easy","Working Team",0
"247","Western Europe","Exit Barriers","Q25F","Resale Markets for Assets","Future",2,"Somewhat Easy","Working Team",0
"248","Western Europe","Exit Barriers","Q25F","Resale Markets for Assets","Future",3,"Neutral","Working Team",0
"249","Western Europe","Exit Barriers","Q25F","Resale Markets for Assets","Future",4,"Somewhat Difficult","Working Team",0
"250","Western Europe","Exit Barriers","Q25F","Resale Markets for Assets","Future",5,"Difficult","Working Team",0
"251","Western Europe","Exit Barriers","Q26","Shared Facilities","Current",1,"Mostly Standalone","Working Team",0
"252","Western Europe","Exit Barriers","Q26","Shared Facilities","Current",2,"Few","Working Team",0
"253","Western Europe","Exit Barriers","Q26","Shared Facilities","Current",3,"Some","Working Team",0
"254","Western Europe","Exit Barriers","Q26","Shared Facilities","Current",4,"Substantial","Working Team",0
"255","Western Europe","Exit Barriers","Q26","Shared Facilities","Current",5,"Mostly Shared","Working Team",0
"256","Western Europe","Exit Barriers","Q26F","Shared Facilities","Future",1,"Mostly Standalone","Working Team",0
"257","Western Europe","Exit Barriers","Q26F","Shared Facilities","Future",2,"Few","Working Team",0
"258","Western Europe","Exit Barriers","Q26F","Shared Facilities","Future",3,"Some","Working Team",0
"259","Western Europe","Exit Barriers","Q26F","Shared Facilities","Future",4,"Substantial","Working Team",0
"260","Western Europe","Exit Barriers","Q26F","Shared Facilities","Future",5,"Mostly Shared","Working Team",0
"261","Western Europe","Exit Barriers","Q27","Vertical Integration","Current",1,"Very Little","Working Team",0
"262","Western Europe","Exit Barriers","Q27","Vertical Integration","Current",2,"Little","Working Team",0
"263","Western Europe","Exit Barriers","Q27","Vertical Integration","Current",3,"Some","Working Team",0
"264","Western Europe","Exit Barriers","Q27","Vertical Integration","Current",4,"Substantial","Working Team",0
"265","Western Europe","Exit Barriers","Q27","Vertical Integration","Current",5,"Very Substantial","Working Team",0
"266","Western Europe","Exit Barriers","Q27F","Vertical Integration","Future",1,"Very Little","Working Team",0
"267","Western Europe","Exit Barriers","Q27F","Vertical Integration","Future",2,"Little","Working Team",0
"268","Western Europe","Exit Barriers","Q27F","Vertical Integration","Future",3,"Some","Working Team",0
"269","Western Europe","Exit Barriers","Q27F","Vertical Integration","Future",4,"Substantial","Working Team",0
"270","Western Europe","Exit Barriers","Q27F","Vertical Integration","Future",5,"Very Substantial","Working Team",0
"271","Western Europe","Exit Barriers","Q28","Single Product Competitors","Current",1,"None","Working Team",0
"272","Western Europe","Exit Barriers","Q28","Single Product Competitors","Current",2,"Very Few","Working Team",0
"273","Western Europe","Exit Barriers","Q28","Single Product Competitors","Current",3,"Few","Working Team",0
"274","Western Europe","Exit Barriers","Q28","Single Product Competitors","Current",4,"Some","Working Team",0
"275","Western Europe","Exit Barriers","Q28","Single Product Competitors","Current",5,"Many","Working Team",0
"276","Western Europe","Exit Barriers","Q28F","Single Product Competitors","Future",1,"None","Working Team",0
"277","Western Europe","Exit Barriers","Q28F","Single Product Competitors","Future",2,"Very Few","Working Team",0
"278","Western Europe","Exit Barriers","Q28F","Single Product Competitors","Future",3,"Few","Working Team",0
"279","Western Europe","Exit Barriers","Q28F","Single Product Competitors","Future",4,"Some","Working Team",0
"280","Western Europe","Exit Barriers","Q28F","Single Product Competitors","Future",5,"Many","Working Team",0
"281","Western Europe","Rivalry Determinants","Q29","Customer Power","Current",1,"Very Weak","Working Team",0
"282","Western Europe","Rivalry Determinants","Q29","Customer Power","Current",2,"Weak","Working Team",0
"283","Western Europe","Rivalry Determinants","Q29","Customer Power","Current",3,"Neutral","Working Team",0
"284","Western Europe","Rivalry Determinants","Q29","Customer Power","Current",4,"Strong","Working Team",0
"285","Western Europe","Rivalry Determinants","Q29","Customer Power","Current",5,"Very Strong","Working Team",0
"286","Western Europe","Rivalry Determinants","Q29F","Customer Power","Future",1,"Very Weak","Working Team",0
"287","Western Europe","Rivalry Determinants","Q29F","Customer Power","Future",2,"Weak","Working Team",0
"288","Western Europe","Rivalry Determinants","Q29F","Customer Power","Future",3,"Neutral","Working Team",0
"289","Western Europe","Rivalry Determinants","Q29F","Customer Power","Future",4,"Strong","Working Team",0
"290","Western Europe","Rivalry Determinants","Q29F","Customer Power","Future",5,"Very Strong","Working Team",0
"291","Western Europe","Rivalry Determinants","Q30","Customer Switching Costs","Current",1,"Very High","Working Team",0
"292","Western Europe","Rivalry Determinants","Q30","Customer Switching Costs","Current",2,"High","Working Team",0
